num_users,isolation_level,successful,failed,avg_time,total_time
5,READ COMMITTED,1,4,150.6,0.21897077560424805
5,REPEATABLE READ,1,4,185.2,0.30744171142578125
5,SERIALIZABLE,1,4,203.4,0.2741684913635254
10,READ COMMITTED,1,9,160.1,0.2961442470550537
10,REPEATABLE READ,1,9,179.0,0.2841205596923828
10,SERIALIZABLE,1,9,197.2,0.31356167793273926
20,READ COMMITTED,1,19,244.3,0.3669013977050781
20,REPEATABLE READ,1,19,256.85,0.38829565048217773
20,SERIALIZABLE,1,19,233.1,0.3868834972381592
30,READ COMMITTED,2,28,244.26666666666668,0.4593472480773926
30,REPEATABLE READ,1,29,234.46666666666667,0.4276251792907715
30,SERIALIZABLE,2,28,228.26666666666668,0.3905646800994873
